{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (-570.20725, 457.34673)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (425.92412, 382.82486)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (120.38396, 255.25129)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Hanson Fitness & Lifestyle Centre, Centroid: (382.2596, -338.07528)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Men's Locker Rooms, Centroid: (20.82811, 104.63825)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (216.08266, 440.34333)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (357.18524, -331.40335)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (267.02142, 264.48166)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (101.7333, -200.85686)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (554.6032, -403.06265)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-552.60753, 554.84652)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (475.58939, 36.76825)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (165.37493, -45.37866)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (76.91578, 475.30239)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (292.42493, 36.44232)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-166.69113, 555.19379)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (245.90538, 360.33416)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-356.36144, -129.48927)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (173.68444, 227.4245)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-166.69113, 307.95132)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (271.41149, -428.7994)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-552.60753, 310.42837)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (498.22818, -422.91799)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (32.08558, 254.75124)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (440.27075, 432.00676)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Steadward Centre, Centroid: (-178.95595, 189.70721)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Universiade Pavilion, Centroid: (-229.4861, -336.78616)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Men, Centroid: (-204.6548, 554.84651)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Men, Centroid: (458.80291, 357.1968)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Men, Centroid: (141.20444, -109.11439)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washrooms, Centroid: (337.23693, 50.85257)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washrooms, Centroid: (62.82756, 411.68295)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (-38.10147, 229.79397)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (473.95638, 357.1968)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (-204.35315, 310.42837)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (108.3494, -118.5644)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: West Pool, Centroid: (-214.12885, 36.42917)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Wilson Climbing Centre, Centroid: (503.23595, -433.71196)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: Women's Locker Rooms, Centroid: (400.79025, -70.8263)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-92.97487, -57.16424)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (324.38158, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-383.21918, 554.84652)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (427.19712, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-116.74137, 308.45309)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (574.34251, -384.57532)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (274.24257, -315.41443)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-225.67939, -107.10878)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (373.77653, 420.72357)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (7.95211, 290.37146)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-25.39761, -106.97021)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (74.45783, 489.33411)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (455.32914, -415.1277)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (510.51132, -84.97477)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-33.04561, -10.44857)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (306.79203, -325.0805)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (182.35893, -141.52305)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (150.48095, 274.7588)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (39.79528, 326.05436)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-143.09155, 391.43496)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (497.97277, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (399.27689, -101.20778)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-382.91752, 310.42837)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-451.58876, -101.61303)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (514.52914, 76.92975)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (157.80419, 86.51187)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (519.26672, -343.59323)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (192.16067, 425.40066)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: None, Centroid: None}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-130, Centroid: (318.21398, 425.98894)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-131, Centroid: (355.49771, 366.40884)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-153, Centroid: (282.85891, 377.1502)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-155, Centroid: (285.14041, 355.40879)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-210, Centroid: (290.85559, 172.62914)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-215, Centroid: (306.22839, -28.463)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-227, Centroid: (415.41961, 27.1319)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-235, Centroid: (515.15941, 27.83532)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-240, Centroid: (126.69179, -247.56886)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-649, Centroid: (-104.16318, 130.70261)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-650, Centroid: (148.04643, 326.76263)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-653, Centroid: (30.64378, 337.31583)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-662, Centroid: (131.4379, 416.13119)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-670, Centroid: (-28.03321, 422.05562)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-675, Centroid: (-118.7599, 349.77352)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: 2-676, Centroid: (-101.57764, 406.23543)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Building Outline, Centroid: (-13.48005, -15.42829)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Clare Drake Arena, Centroid: (-374.9783, 427.76411)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Council Chamber, Centroid: (525.51391, 397.05435)}
